id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
132,South Africa,"A Cabernet-dominated (98%) wine, which boasts a dense, concentrated tannic structure. Flavors of cassis underly this, while the wood spices contribute their ribbon of flavor. This is an impressive wine, the flagship red from this estate founded by Spatz Sperling over 30 years ago.",Grand Reserve,91,30.0,Simonsberg-Stellenbosch,,,Roger Voss,@vossroger,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim
133,Italy,"Einaudi's wines have been improving lately, and this Barolo was very impressive, given the trying conditions of the vintage. Big rich, fat with smoked meat and a good dose of oak, the wine was one of the few that didn't peter out early but stayed on the palate to the end, culminating in an nice easy finish.",,91,68.0,Piedmont,Barolo,,,,Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,Poderi Luigi Einaudi
134,US,"Give this young Cab time in the cellar to come around. Right now, it's fresh and tannic, with primary fruit blackberry and cherry flavors, and the sweet smoky oak hasn't been integrated. Should knit together over the next 4-6 years, at least.",,91,78.0,California,Napa Valley,Napa,,,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden
135,Italy,"The color is just beginning to show signs of browning at the edge, but the wine is still fresh and vibrant. The nose is complex, showing licorice, summer fruits, caramel and roses. On the palate, it is soft and pleasant, but lacks some concentration.  At its peak, but will drink well for a few years.",Sorano,91,60.0,Piedmont,Barolo,,,,Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,Giacomo Ascheri
136,France,"This wine's black cherry and plum flavors veer dangerously toward prune—no doubt a product of the exceedingly hot summer. It's creamy and supple in texture, adding just enough tobacco, vanilla and smoke for complexity. But for all the fruit and ripeness, it finishes with great elegance and precision. Drink now–2020. Imported by Acadia Imports.",,91,50.0,Bordeaux,Saint-Émilion,,Joe Czerwinski,@JoeCz,Lassègue 2003  Saint-Émilion,Bordeaux-style Red Blend,Lassègue
137,South Africa,"This is great Chenin Blanc, wood fermented but still leaving all the varietal character. Rich, creamy, almond flavors and silky smooth, which keeps all the essential acidity of the grape, with added spice and vanilla.",Hope Marguerite,90,,Walker Bay,,,Roger Voss,@vossroger,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Chenin Blanc,Beaumont
138,France,"Mid-gold color. Very mineral driven with subtle aromas of bruised apple and stone fruit compote. Crisp, fairly taut palate showing strong minerality and ripe flavors of red apple, cantaloupe, sweet nectarine and spice. Taut and precise texture with a long, slightly austere finish.",Crustacés,90,10.0,Alsace,Alsace,,,,Dopff & Irion 2008 Crustacés White (Alsace),Alsace white blend,Dopff & Irion
139,France,"Beautiful deep gold color. Intense, concentrated nose with vibrant aromas of honey, citrus marmalade and savory botrytis notes. Deliciously sweet and succulent, yet balanced by good acidity.  Packed with flavors of sweet ultra-ripe stone and tropical fruit, with honey and botrytis notes following through. Strong minerality prevails to a long, complex finish.",Cuvée Jerémy Sélection de Grains Nobles,90,112.0,Alsace,Alsace,,,,Kuentz-Bas 2007 Cuvée Jerémy Sélection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Kuentz-Bas
140,Italy,"A big, fat, luscious wine with plenty of toasty oak, dark jammy fruit and spices. The palate showed the same lushness; with the fruit front and center with surprising length.  A delicious, rather hefty effort short on finesse but long on flavor.",Costa Bruna,90,26.0,Piedmont,Barbera d'Alba,,,,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla
141,Italy,"This is one of the more complex wines from the 2003 vintage. The nose has aromas of blackberry liquer, smoked meat, truffle and road tar. On the palate the fruit seems a little heavier and more roasted, but still melds well with its earthy, mushroomy flavors. Medium finish.",Vigna dei Pola,90,45.0,Piedmont,Barolo,,,,Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),Nebbiolo,Giacomo Ascheri
142,US,"A beautiful wine, sleek, crisp and ultra-dry, with the most refined flavors of petrol, white peach, kaffir lime, apricot skin and minerals. The acidity is very high and palate-cleansing. The wine was half fermented in barrels, half in stainless steel. Sommeliers, buy this by the case, if you can find it.",,90,17.0,California,Santa Lucia Highlands,Central Coast,,,Banyan 2007 Riesling (Santa Lucia Highlands),Riesling,Banyan
143,France,"Rich gold in color. Broad, layered aromas of very ripe fruit with hints of sweet smoke, brown sugar, honey and a savory earthy minerality. Full-bodied, bone dry, but richly textured with crisp acidity and a wide palette of flavors, ripe stone fruit, a creamy savory earthiness, sage and a balsamic kick on the finish. Very long length, slightly warm but with a lingering savory, mineral finish.",Hunawihr Clos Windsbuhl,90,84.0,Alsace,Alsace,,,,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht
144,US,"Thick and brooding, this dark, sweetly tannic wine also offers higher-toned elements of cedar, dried herb and graphite. It finds its balance amid a full-bodied density of fruit concentration and girth of structure. Drink now through 2023.",K Block,91,85.0,California,Spring Mountain District,Napa,Virginie Boone,@vboone,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
145,US,"Cooked cranberry is spiced with anise, peppercorn and roasted beef slices on this bottling from a vineyard planted by three brothers who are longtime Salinas Valley farmers. The palate shows dark cranberry and raspberry, spiced up by chopped sage, thyme and bay leaf.",Guidotti Vineyard,91,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
146,US,"There's a touch of hot asphalt, pencil lead and miso on the nose of this first vintage from a promising, well-funded project, with dark elderberry fruit and dried dill rounding out the aromas. The palate blends a gamy beef quality with oregano, marjoram, cooked strawberry, baked blackberry and a sesame-oil character.",Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
147,US,"Black cherry, black plum and black currant are integrated well into the fresh dill and smoke scents on the nose of this wine from one of the region's newest properties. It discloses a rich dark-chocolate sauce character on the palate as well as black-currant-jelly flavors, but most impressive is the lush, sexy and soft mouthfeel.",Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
148,Germany,"Crisp, pristine peach and apricot notes resonate through the nose and palate of this fresh, blossomy dry Riesling. While zesty and lithe in body, ripe grapefruit and melon flavors feel supple and silky on the palate. Drink now through 2019.",Dry,91,16.0,Rheinhessen,,,Anna Lee C. Iijima,,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift
149,US,"Smashed blackberry and blueberry fruit are enhanced by burned caramel, heavy slate and touches of soy and smoke on the nose. There's great depth in both body and flavors once sipped, with a layer of fine-grained tannins revealing teriyaki, black plum, boysenberry and touches of lavender.",Destruction Level,91,35.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath
150,US,"This wine shows off Yountville fruit at its finest, starting with a floral component to the nose. Spicy, bright and lifted, it coats the palate in ripe berry and cherry, ending with a snap of vanilla.",Ruth's Reach,91,25.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick
151,Portugal,"This bottling shows a rich, wood-aged wine, full of ripe yellow and tropical fruits as well as rich toasty flavors. The wine is warm, rounded, spicy and with its impressive structure still developing, it has the potential to age well. The wine is named to celebrate the second Lança generation in charge at the estate. Drink from 2017.",Gerações Colheita Seleccionada Branco,91,30.0,Alentejano,,,Roger Voss,@vossroger,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande
152,US,"From a promising new project, the nose of this wine is linear and focused, with black raspberry, black licorice, cola, wet sagebrush and rain-on-slate scents. The tactile acidity once sipped creates a fascinating soft buzz on the tongue, with flavors of dried mint, brisk raspberry and cherry tomato. Camphor and eucalyptus add intrigue on the finish.",Estate Reserve,91,55.0,California,Carmel Valley,Central Coast,Matt Kettmann,@mattkettmann,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge
153,US,"Dark and thick in the glass, this wine shows strong but not bitter tar notes on the nose plus charred beef in a blueberry glaze, wet campfire, bourbon barrel and vanilla. The structure is massive now, gooey with thick tannins and flavors of espresso bean and condensed purple flowers. Judicious acidity ensures strong cellaring potential. Drink 2018–2027.",Old 900,91,46.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina
154,Spain,"Ripe aromas of raisin, black plum and horsehide are pointy and peppery. On the palate, this Graciano is bold and energetic, with lifting acidity. Loud berry flavors come with strong accents of dark chocolate and bitter espresso, while the finish is long but just moderate in complexity. Drink through 2020.",Single Vineyard Estate Bottled,91,50.0,Central Spain,Dominio de Valdepusa,,Michael Schachner,@wineschach,Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,Marques de Griñon
155,US,"Bradley Brown's appellation blend is a nice entry point to this exciting winery. This wine shows lavish smoked black currant and plum flavors, with aromatically lifting spices of anise and black pepper and a savory roast-beef element. The palate packs lots of pepper and relies on plump black cherry, boysenberry and a dark-chocolate syrup richness.",,91,36.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin
156,Germany,"Approachably fruity yet nuanced and electrifying, there's exceptional value here. High-intensity flavors of tangerine and stone fruit sweeten the palate, balanced by nerve-tingling acidity and deep ripples of slate, salt and honeycomb. It's an intensely zesty wine, but the finish has length and power.",Graacher Himmelreich Spätlese,91,14.0,Mosel,,,Anna Lee C. Iijima,,Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),Riesling,Carl Graff
157,Portugal,"From an estate in the south of the Alentejo, this is a rich, hot-country wine. It is firm, densely structured and with solid, dark tannins. There is a juicy black fruit background to this dense wine that gives a lift. Still young, this dark and very concentrated wine will be better from 2018.",Grande Reserva Tinto,91,26.0,Alentejano,,,Roger Voss,@vossroger,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitória
158,Italy,"Baked plum, Asian spice, vanilla and menthol aromas carry the nose. The elegantly structured palate offers fleshy black cherry, licorice, mint and well-integrated French oak alongside fine-grained tannins that lend firm, polished support. A coffee note marks the finish.",Bellezza Gran Selezione,91,38.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano
159,Italy,"Intense aromas of ripe red berry, menthol, espresso and star anise lead the nose. The concentrated palate offers cranberry, dried Morello cherry, sage and licorice alongside close-grained tannins that grip the finish. Drink from 2018 through 2025.",Filo di Seta,91,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Castello Romitorio
160,France,"Low-yield vines on the best parcels of the Vincens estate are the source of this wine. It is super-rich and concentrated, maybe too much in its opulent excess. The wine does have great plum and berry flavors that are generous and full in the mouth. The wine even now is still young and will be better from 2018.",,91,35.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Vincens 2012 Malbec (Cahors),Malbec,Château Vincens
161,US,"A hearty blend of 76% Zinfandel and 24% Petite Sirah, this bottling packs a wallop of cinnamon-stick on the nose as well as strawberry puree, licorice and black pepper. Clove, allspice, and nutmeg arise immediately on the sip, backed by baked plum and bay leaf notes.",Mr. Nibbles,91,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars
162,US,"More complex than the winery's appellation blend, yet also requiring time to reach full potential, this shows delicate lemon slices, honeysuckle, surf wax, pink grapefruit and a touch of coconut on the nose. The palate is grippy in texture and sizzling with mouthwatering acidity, offering lemon rind, grapefruit spritz and petrol flavors. Expect inviting nut and honey-dust flavors to emerge. Drink 2018–2034.",Claiborne Vineyard,91,28.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,Claiborne & Churchill
163,France,"Produced from vineyards donated to a charitable hospital in the 19th century, this wine is rich and now perfectly mature. It has smoky tannins that lie under the fine, elegant cherry and red plum fruits and acidity. The wine still has freshness although the attraction here is the ripe structure. The ornate label dates back to 1926.",Hospices Civils de Romanèche Thurins,91,,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Collin-Bourisset 2011 Hospices Civils de Romanèche Thurins  (Moulin-à-Vent),Gamay,Collin-Bourisset
164,Chile,"This blend of Cabernet Sauvignon, Syrah and Merlot opens with blackened aromas of charred oak and creosote, but it quickly sheds that oak-heavy character to display toasty flavors of olives, herbs and berry fruits. All together, this is a classic Chilean red blend, with fine tannins and patented lightly herbal, balsamic flavors. Drink through 2020.",Condesa Real Premium Blend,91,29.0,Aconcagua Valley,,,Michael Schachner,@wineschach,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de Velázquez
165,Chile,"Dry, briary aromas of field brush, black olive, herbs, berry fruits and saucy tomato are textbook Maipo. This is fresh, a touch choppy, and not overly heavy. Flavors of cassis, plum and vanilla carry over to the finish, which is fresh and bolstered by fine natural acidity. Drink through 2022.",20 Barrels,91,32.0,Maipo Valley,,,Michael Schachner,@wineschach,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
166,France,"Of course, this 90% Tannat wine is still very young. But it's impressive, rich and concentrated and promises to age well. It is dense with both tannins and fruit, black plum and berry flavors dominating, cut by acidity. It will be ready to drink from 2019.",Charles de Batz,91,25.0,Southwest France,Madiran,,Roger Voss,@vossroger,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Tannat-Cabernet,Domaine Berthoumieu
167,US,"The addition of 15% Petite Sirah takes this bottling to a compelling place, showing barely ripe blackberries, animal fat, smoke, black pepper and a wild clove element on the nose. It's rich and layered on the palate, where chalky tannins support black cherry, grilled beef and mint flavors. This has the bones to last awhile.",,91,28.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Dracaena 2013 Cabernet Franc (Paso Robles),Cabernet Franc,Dracaena
168,US,"A fairly elegant expression of the variety, this wine is bright in cherry kirsch and pretty aromas of rose petal and lavender, structured to age and enjoy with food. Rector Creek Vineyard is just north of Yountville and planted in rocky alluvial soils. Drink now through 2022.",Rector Creek Vineyard,91,95.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,Duckhorn
169,US,"This wine is put together from multiple vineyard sources, including the well-known Morelli Lane and Widdoes, all farmed by the Duttons. Larger in production than many of the vineyard-designates, it offers baked bread and juicy overtones of cranberry-raspberry layered atop luxuriously toasted oak. It'll show well at the table.",Dutton Ranch,91,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
170,Germany,"Fresh and fragrant of blossoms, tart yellow peach and apricot, this off-dry Riesling maintains a crystalline fruit purity that persists throughout Fritz Haag's wines. It's invigorating and irresistably quaffable. The long, melon-rind finish is lip smacking.",Brauneberger Feinherb,91,30.0,Mosel,,,Anna Lee C. Iijima,,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag
171,Germany,"Just a touch of honey-lemon sweetness is enough to make this zesty, citrus-focused Riesling lip smackingly delicious. Fresh, green herb and lime notes reverberate through a strong finish. Drinks well now but should meld nicely over the next five years.",,91,22.0,Mosel,,,Anna Lee C. Iijima,,Fritz Haag 2014 Riesling (Mosel),Riesling,Fritz Haag
172,Chile,"Dry, spicy aromas of tobacco, cedar, vanilla and berry fruits come together nicely. This Maule Valley Cab is fresh and harmonious across the palate, with nothing too pushy. Complex, balsamic flavors of olives, herbs, dried berries, turned earth and cocoa finish dry, peppery and elegant. Drink through 2019.",The 7th Generation Gran Reserva Estate Bottled,91,20.0,Loncomilla Valley,,,Michael Schachner,@wineschach,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7
173,US,"This wine is bursting with gorgeous cherry fruit, forward and luscious. The tannins are ripe and the acids in perfect proportion, keeping the fruit flavors buoyed upon a textural ride into a lingering finish.",,91,38.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau
174,New Zealand,"The Stoneleigh style traditionally favors ripeness over herbaceousness, and the 2008 holds true to form, offering up grapefruit and nectarine aromas and an appealing blend of citrus and stone-fruit flavors. It's plump and round, yet finishes fresh. Good as an apéritif or with light dishes.",,88,19.0,Marlborough,,,Joe Czerwinski,@JoeCz,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Stoneleigh
175,Italy,"Crisp and fresh with enduring aromas of tomato leaf, citrus, pink grapefruit and white stone, this is textbook Sauvignon from the mountainous Alto Adige region of Italy. Pair it with appetizers or lightly spicy foods.",De Silva,88,25.0,Northeastern Italy,Alto Adige,,,,Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige),Sauvignon,Tenuta Peter Sölva & Söhne
176,Chile,"Haven't seen this unusual combination of grapes in quite some time, and you know what, it's much better now than when we last saw it in 2001. This vintage has a nice, almost magnetic nose, while the palate is firm and well structured, with cassis, black cherry, coffee and licorice flavors. It's a bit boring on the finish, but the mouthfeel and length are just fine. Fruity, rich and balanced. 325 cases made.",Unusual Cabernet-Shiraz-Zinfandel,88,50.0,Maipo Valley,,,Michael Schachner,@wineschach,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,TerraMater
177,Italy,"This Chianti Classico strikes a beautiful balance between elegance and intensity. It has both and its pretty aromas of wild berry, rose, ginger, anise and spice come forth in a continuous, steady manner. It feels bright and lively in the mouth and ends with a touch of piquant spice.",,88,22.0,Tuscany,Chianti Classico,,,,Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena
178,US,"Black as a moonless night, dense in structure, tannic, bone dry and super-peppery, this Syrah isn't offering much relief right now. In all likelihood it will emerge from its cocoon in a few years to offer a wealth of ripe blackberry, currant and carob fruit.",Jack London Vineyard,88,25.0,California,Sonoma Valley,Sonoma,,,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,Kenwood
179,France,"The impact of 50-year old vines is seen in the concentrated fruit, ripe and full,  in this wine. The flavors are of fresh apricots, edged with green apples and pink grapefruit, a combination that shows both richness and great freshness. The finish is a reminder of the fine acidity in 2006.",Les Vénérables Vieilles Vignes,88,27.0,Burgundy,Chablis,,Roger Voss,@vossroger,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne
180,US,"This is a strong, oaky Chardonnay. It's crisp in acidity and forward in pineapple jam, lemon custard and vanilla meringue flavors. If you like the ripe, California style, it's for you.",Lucia Highland Vineyard,88,23.0,California,Santa Lucia Highlands,Central Coast,,,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Manzoni
181,US,"Crisp, coastal acidity dominates this wine, making it mouth-wateringly tart. May be too much for some folks, but it's quite elegant, with good cherry, black raspberry and cola flavors enriched with a touch of smoky oak.",Mission Ranch,88,36.0,California,Arroyo Seco,Central Coast,,,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,McIntyre Vineyards
182,Italy,"Loaded with bold, ripe fruit, exotic spice and leather, this is a simple but genuine expression of Brunello di Montalcino. The wine tastes thick and a bit chunky in the mouth because of its chewy, succulent tannins.",M. Vigna,88,,Tuscany,Brunello di Montalcino,,,,Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),Sangiovese Grosso,Abbadia Ardenga
183,Argentina,"With attractive melon and other tropical aromas, this is a Torrontés that rises above the masses. It smells great and tastes like a pure blend of lychee fruit, tangerine and honeydew melon. The palate feel is smooth and round, and the finish is dry, clean and healthy. It's everything that Torrontés should be. Drink now.",,88,12.0,Other,Salta,,Michael Schachner,@wineschach,Alamos 2007 Torrontés (Salta),Torrontés,Alamos
184,US,"This is a typical Sonoma Coast Chard in the bright acidity that firms up the ripe, long hangtime flavors. Pineapples, pears, peaches, nectarines and subtle papaya notes are joined with buttercream and cinnamon spices. Drink now.",,88,35.0,California,Sonoma Coast,Sonoma,,,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,Anaba
185,Chile,"Composed and structured, with its fair share of richness manifested as raisin and molasses. Interestingly, the palate rings with acidity, resulting in a feel that's borderline sharp. But there's enough fruit and heft to balance things out, and the flavors of cherry, blackberry and cola are nice. A good example of elevated Carmenère (with 10% Cabernet Sauvignon) that doesn't cost an arm and a leg.",Envero Gran Reserva,88,15.0,Colchagua Valley,,,Michael Schachner,@wineschach,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),Carmenère,Apaltagua
186,US,"This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",Wiley Vineyard,88,40.0,California,Anderson Valley,,,,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington
